# vertices,# aristas,tiempo_global,tiempo_crear_agm,tiempo_elegir_master
2,1,-10.9999,-5.92119,-5.0787
4,4,-9.71669,-5.07838,-4.63831
6,9,-9.0844,-4.54483,-4.53957
8,16,-8.46892,-4.1004,-4.36852
10,25,-8.06432,-3.76369,-4.30063
12,36,-7.66425,-3.44502,-4.21923
14,49,-7.23391,-3.15145,-4.08246
16,64,-6.86509,-2.89141,-3.97369
18,81,-6.58169,-2.67495,-3.90674
20,100,-6.32468,-2.47975,-3.84493
22,121,-6.06554,-2.2775,-3.78804
24,144,-5.85257,-2.12993,-3.72264
26,169,-5.6285,-1.946,-3.6825
28,196,-5.43262,-1.80998,-3.62264
30,225,-5.26419,-1.66894,-3.59524
32,256,-5.05327,-1.55077,-3.5025
34,289,-4.88995,-1.41902,-3.47093
36,324,-4.68741,-1.28431,-3.4031
38,361,-4.56993,-1.19347,-3.37647
40,400,-4.42841,-1.08973,-3.33867
42,441,-4.23021,-0.969834,-3.26038
44,484,-4.0851,-0.871011,-3.21409
46,529,-4.00083,-0.786346,-3.21449
48,576,-3.85119,-0.684005,-3.16719
50,625,-3.74184,-0.596907,-3.14493
52,676,-3.60625,-0.530049,-3.07621
54,729,-3.53669,-0.453652,-3.08303
56,784,-3.38469,-0.368025,-3.01667
58,841,-3.31364,-0.271693,-3.04194
60,900,-3.20518,-0.230858,-2.97432
62,961,-3.15559,-0.167033,-2.98856
64,1024,-2.99964,-0.0983055,-2.90133
66,1089,-2.95706,-0.0418058,-2.91526
68,1156,-2.84182,0.0369142,-2.87873
70,1225,-2.77419,0.0893872,-2.86358
72,1296,-2.67758,0.151385,-2.82896
74,1369,-2.59962,0.204437,-2.80405
76,1444,-2.53077,0.26033,-2.79109
78,1521,-2.46463,0.314412,-2.77904
80,1600,-2.39132,0.361219,-2.75254
82,1681,-2.30674,0.415764,-2.7225
84,1764,-2.2598,0.464932,-2.72473
86,1849,-2.18155,0.51133,-2.69288
88,1936,-2.12273,0.556584,-2.67932
90,2025,-2.05441,0.607974,-2.66238
92,2116,-1.97887,0.651252,-2.63012
94,2209,-1.91739,0.709047,-2.62643
96,2304,-1.83059,0.753165,-2.58376
98,2401,-1.80652,0.79906,-2.60558
100,2500,-1.72197,0.840893,-2.56286
102,2601,-1.66878,0.880372,-2.54915
104,2704,-1.60023,0.918574,-2.5188
106,2809,-1.55462,0.963835,-2.51846
108,2916,-1.47887,0.999498,-2.47837
110,3025,-1.43253,1.03571,-2.46824
112,3136,-1.39505,1.07267,-2.46772
114,3249,-1.34148,1.10878,-2.45025
116,3364,-1.28661,1.14556,-2.43217
118,3481,-1.24349,1.18255,-2.42604
120,3600,-1.12136,1.21445,-2.33581
122,3721,-1.13835,1.25076,-2.3891
124,3844,-1.07637,1.28637,-2.36274
126,3969,-1.05446,1.31694,-2.3714
128,4096,-0.92881,1.36448,-2.29329
130,4225,-0.932319,1.393,-2.32532
132,4356,-0.858533,1.43652,-2.29505
134,4489,-0.794661,1.45931,-2.25397
136,4624,-0.783198,1.49107,-2.27427
138,4761,-0.742005,1.52071,-2.26271
140,4900,-0.697812,1.55355,-2.25136
142,5041,-0.64511,1.57927,-2.22438
144,5184,-0.590005,1.60961,-2.19961
146,5329,-0.568401,1.64964,-2.21804
148,5476,-0.530473,1.66975,-2.20023
150,5625,-0.509873,1.69609,-2.20597
152,5776,-0.461288,1.72754,-2.18883
154,5929,-0.418883,1.75608,-2.17497
156,6084,-0.358414,1.78239,-2.14081
158,6241,-0.358607,1.80498,-2.16359
160,6400,-0.325041,1.83672,-2.16176
162,6561,-0.274159,1.86118,-2.13534
164,6724,-0.17823,1.92138,-2.09961
166,6889,-0.20603,1.91295,-2.11898
168,7056,-0.149771,1.93521,-2.08498
170,7225,-0.102949,1.95645,-2.0594
172,7396,-0.073988,1.98683,-2.06082
174,7569,-0.0585903,2.0058,-2.06439
176,7744,-0.0199864,2.02982,-2.04981
178,7921,0.00480077,2.05067,-2.04587
180,8100,0.0381223,2.07467,-2.03655
182,8281,0.0649243,2.09689,-2.03196
184,8464,0.121628,2.12254,-2.00091
186,8649,0.160542,2.16134,-2.00079
188,8836,0.203648,2.18656,-1.98291
190,9025,0.226216,2.20559,-1.97937
192,9216,0.236545,2.22916,-1.99262
194,9409,0.349055,2.25209,-1.90303
196,9604,0.317031,2.2762,-1.95917
198,9801,0.363056,2.29134,-1.92828
200,10000,0.35929,2.31274,-1.95345
202,10201,0.387228,2.33313,-1.9459
204,10404,0.443148,2.35763,-1.91448
206,10609,0.479602,2.3747,-1.8951
208,10816,0.493302,2.40403,-1.91073
210,11025,0.513886,2.41209,-1.8982
212,11236,0.543191,2.43115,-1.88796
214,11449,0.57303,2.45037,-1.87734
216,11664,0.616625,2.47567,-1.85904
218,11881,0.62309,2.49397,-1.87088
220,12100,0.682764,2.51171,-1.82895
222,12321,0.71744,2.52903,-1.81159
224,12544,0.699575,2.54427,-1.84469
226,12769,0.73901,2.563,-1.82399
228,12996,0.781877,2.58146,-1.79958
230,13225,0.807404,2.59907,-1.79167
232,13456,0.820086,2.61792,-1.79783
234,13689,0.864832,2.64235,-1.77751
236,13924,0.881337,2.65388,-1.77255
238,14161,0.899528,2.67217,-1.77264
240,14400,0.95397,2.68771,-1.73374
242,14641,0.942189,2.71086,-1.76867
244,14884,0.978295,2.72116,-1.74287
246,15129,1.00532,2.73937,-1.73405
248,15376,1.00639,2.7579,-1.75151
250,15625,1.05597,2.77828,-1.7223
252,15876,1.06339,2.78962,-1.72623
254,16129,1.07051,2.80668,-1.73617
256,16384,1.12232,2.82107,-1.69875
258,16641,1.12615,2.835,-1.70885
260,16900,1.22638,2.88115,-1.65477
262,17161,1.21252,2.88444,-1.67192
264,17424,1.21748,2.90463,-1.68715
266,17689,1.24224,2.92305,-1.68081
268,17956,1.25582,2.93285,-1.67703
270,18225,1.29792,2.94635,-1.64843
272,18496,1.30003,2.96344,-1.66341
274,18769,1.325,2.97668,-1.65169
276,19044,1.40537,2.99758,-1.59222
278,19321,1.42104,3.00701,-1.58597
280,19600,1.43955,3.02115,-1.5816
282,19881,1.40422,3.03616,-1.63194
284,20164,1.43796,3.0512,-1.61325
286,20449,1.46368,3.0662,-1.60252
288,20736,1.52,3.07946,-1.55946
290,21025,1.51925,3.09387,-1.57461
292,21316,1.523,3.10868,-1.58567
294,21609,1.55449,3.12333,-1.56883
296,21904,1.57914,3.13776,-1.55862
298,22201,1.5727,3.15061,-1.57791
300,22500,1.62567,3.16653,-1.54085
302,22801,1.6493,3.18019,-1.53089
304,23104,1.64773,3.19304,-1.54531
306,23409,1.66895,3.20871,-1.53976
308,23716,1.69428,3.22141,-1.52714
310,24025,1.69784,3.23421,-1.53637
312,24336,1.73191,3.24711,-1.5152
314,24649,1.75104,3.25966,-1.50862
316,24964,1.75285,3.27383,-1.52098
318,25281,1.8242,3.29016,-1.46596
320,25600,1.8062,3.30037,-1.49416
322,25921,1.83398,3.31344,-1.47946
324,26244,1.83589,3.32907,-1.49318
326,26569,1.90115,3.33851,-1.43736
328,26896,1.88063,3.35099,-1.47035
330,27225,1.93378,3.36805,-1.43427
332,27556,1.90042,3.37682,-1.4764
