# vertices,# aristas,tiempo_global,tiempo_crear_agm,tiempo_elegir_master
2,1,-11.1343,-6.05334,-5.08095
4,6,-9.70542,-4.96671,-4.7387
6,15,-8.90382,-4.28759,-4.61623
8,28,-8.12328,-3.7117,-4.41158
10,45,-7.52255,-3.23029,-4.29226
12,66,-7.1223,-2.91859,-4.20371
14,91,-6.6822,-2.58505,-4.09715
16,120,-6.28406,-2.30333,-3.98073
18,153,-5.96402,-2.07141,-3.89261
20,190,-5.72424,-1.86803,-3.85621
22,231,-5.44768,-1.66282,-3.78486
24,276,-5.19305,-1.49614,-3.69691
26,325,-4.98383,-1.30474,-3.67909
28,378,-4.78997,-1.15376,-3.63621
30,435,-4.58423,-1.01729,-3.56695
32,496,-4.38865,-0.88887,-3.49978
34,561,-4.20866,-0.745991,-3.46267
36,630,-4.0519,-0.625384,-3.42652
38,703,-3.88397,-0.50175,-3.38222
40,780,-3.73447,-0.39269,-3.34178
42,861,-3.56949,-0.286339,-3.28315
44,946,-3.43731,-0.185549,-3.25176
46,1035,-3.27362,-0.0985659,-3.17505
48,1128,-3.16624,0.0108272,-3.17706
50,1225,-3.04252,0.0837307,-3.12625
52,1326,-2.94523,0.165289,-3.11051
54,1431,-2.80937,0.246154,-3.05552
56,1540,-2.75324,0.323309,-3.07655
58,1653,-2.64,0.391397,-3.0314
60,1770,-2.55156,0.463808,-3.01536
62,1891,-2.43567,0.532563,-2.96823
64,2016,-2.32913,0.597598,-2.92673
66,2145,-2.23483,0.66291,-2.89773
68,2278,-2.13486,0.746013,-2.88087
70,2415,-2.0628,0.805138,-2.86794
72,2556,-1.98833,0.863405,-2.85174
74,2701,-1.8545,0.921297,-2.77579
76,2850,-1.80698,0.979626,-2.78661
78,3003,-1.72603,1.03394,-2.75996
80,3160,-1.66681,1.08132,-2.74812
82,3321,-1.58159,1.13573,-2.71731
84,3486,-1.49621,1.19036,-2.68657
86,3655,-1.44267,1.23615,-2.67882
88,3828,-1.38057,1.28233,-2.6629
90,4005,-1.32651,1.33058,-2.65709
92,4186,-1.2513,1.37679,-2.62809
94,4371,-1.17921,1.4353,-2.61451
96,4560,-1.11534,1.48412,-2.59946
98,4753,-1.06454,1.52503,-2.58957
100,4950,-0.983608,1.5687,-2.5523
102,5151,-0.949532,1.60926,-2.55879
104,5356,-0.887869,1.65115,-2.53902
106,5565,-0.852359,1.68945,-2.54181
108,5778,-0.749915,1.72786,-2.47777
110,5995,-0.73304,1.76685,-2.49989
112,6216,-0.641215,1.80473,-2.44595
114,6441,-0.61888,1.84148,-2.46036
116,6670,-0.515827,1.87732,-2.39314
118,6903,-0.502512,1.91418,-2.41669
120,7140,-0.455204,1.94888,-2.40409
122,7381,-0.366489,1.98162,-2.34811
124,7626,-0.36306,2.01725,-2.38031
126,7875,-0.326309,2.04966,-2.37597
128,8128,-0.244104,2.08583,-2.32994
130,8385,-0.20266,2.11744,-2.3201
132,8646,-0.13583,2.16642,-2.30225
134,8911,-0.102498,2.19506,-2.29756
136,9180,-0.0279774,2.2265,-2.25448
138,9453,-0.0158882,2.25448,-2.27037
140,9730,0.0561286,2.28623,-2.2301
142,10011,0.0765071,2.31559,-2.23908
144,10296,0.114202,2.34504,-2.23084
146,10585,0.152914,2.37313,-2.22021
148,10878,0.191229,2.40361,-2.21238
150,11175,0.239359,2.43062,-2.19126
152,11476,0.299791,2.45855,-2.15876
154,11781,0.333445,2.48761,-2.15417
156,12090,0.348648,2.51415,-2.16551
158,12403,0.395818,2.53966,-2.14384
160,12720,0.415508,2.56767,-2.15217
162,13041,0.480881,2.59225,-2.11137
164,13366,0.516309,2.618,-2.10169
166,13695,0.531097,2.64324,-2.11215
168,14028,0.603485,2.66953,-2.06604
170,14365,0.599879,2.69113,-2.09126
172,14706,0.650647,2.71677,-2.06612
174,15051,0.690453,2.74125,-2.0508
176,15400,0.728973,2.76502,-2.03604
178,15753,0.739621,2.7875,-2.04788
180,16110,0.774725,2.81048,-2.03575
182,16471,0.844787,2.83338,-1.98859
184,16836,0.875825,2.87275,-1.99693
186,17205,0.927482,2.89432,-1.96684
188,17578,0.921189,2.91857,-1.99738
190,17955,0.960184,2.94098,-1.98079
192,18336,0.991037,2.96399,-1.97295
194,18721,1.03358,2.98508,-1.95151
196,19110,1.06012,3.0055,-1.94539
198,19503,1.09943,3.02683,-1.9274
200,19900,1.12295,3.04835,-1.9254
202,20301,1.14754,3.07154,-1.924
204,20706,1.15947,3.08856,-1.92909
206,21115,1.21057,3.1104,-1.89983
208,21528,1.24085,3.1301,-1.88926
210,21945,1.26199,3.15331,-1.89132
212,22366,1.30889,3.17218,-1.86329
214,22791,1.30202,3.19056,-1.88854
216,23220,1.35213,3.21276,-1.86063
218,23653,1.39288,3.23014,-1.83725
220,24090,1.3955,3.25108,-1.85558
222,24531,1.41835,3.2702,-1.85184
224,24976,1.46262,3.28855,-1.82593
226,25425,1.48218,3.30559,-1.82341
228,25878,1.54642,3.32664,-1.78023
230,26335,1.53708,3.34561,-1.80852
232,26796,1.5719,3.36431,-1.79241
234,27261,1.58029,3.3838,-1.80351
236,27730,1.6039,3.40174,-1.79784
238,28203,1.65318,3.42035,-1.76717
240,28680,1.6848,3.43756,-1.75275
242,29161,1.73153,3.45455,-1.72302
244,29646,1.72159,3.47156,-1.74997
246,30135,1.75099,3.48842,-1.73743
248,30628,1.80678,3.50596,-1.69918
250,31125,1.81493,3.5236,-1.70867
252,31626,1.81833,3.54068,-1.72235
254,32131,1.83979,3.55671,-1.71692
256,32640,1.86362,3.57522,-1.71159
258,33153,1.89756,3.59206,-1.69449
260,33670,1.96126,3.6266,-1.66534
262,34191,1.97066,3.64349,-1.67283
264,34716,1.99255,3.6612,-1.66866
266,35245,2.01252,3.6771,-1.66458
268,35778,2.02388,3.69161,-1.66773
270,36315,2.08252,3.70866,-1.62615
272,36856,2.10511,3.72956,-1.62445
274,37401,2.11319,3.74187,-1.62867
276,37950,2.13225,3.75942,-1.62716
278,38503,2.13377,3.77272,-1.63895
280,39060,2.20642,3.78803,-1.58161
282,39621,2.22819,3.80417,-1.57597
284,40186,2.22699,3.81817,-1.59119
286,40755,2.26619,3.83416,-1.56797
288,41328,2.24881,3.85087,-1.60207
290,41905,2.27755,3.86365,-1.5861
292,42486,2.3469,3.87969,-1.53278
294,43071,2.31381,3.8936,-1.57979
296,43660,2.33218,3.90987,-1.57769
298,44253,2.3745,3.92532,-1.55081
300,44850,2.37909,3.9388,-1.55971
302,45451,2.39422,3.95496,-1.56074
304,46056,2.44875,3.96891,-1.52015
306,46665,2.44954,3.98364,-1.53411
308,47278,2.49338,3.99463,-1.50125
310,47895,2.48328,4.00893,-1.52566
312,48516,2.51415,4.02394,-1.50978
314,49141,2.5348,4.03659,-1.5018
316,49770,2.53515,4.04973,-1.51458
318,50403,2.59917,4.06401,-1.46484
320,51040,2.60982,4.08073,-1.4709
322,51681,2.58476,4.08971,-1.50495
324,52326,2.6065,4.10454,-1.49804
326,52975,2.67013,4.11733,-1.4472
328,53628,2.69237,4.12963,-1.43726
330,54285,2.69872,4.14238,-1.44365
332,54946,2.71586,4.15775,-1.44189
334,55611,2.73934,4.16979,-1.43046
336,56280,2.75494,4.19324,-1.4383
338,56953,2.74211,4.19452,-1.45242
340,57630,2.79107,4.20795,-1.41688
342,58311,2.78478,4.21825,-1.43347
344,58996,2.80448,4.23291,-1.42843
346,59685,2.84632,4.24347,-1.39715
348,60378,2.82984,4.25779,-1.42794
350,61075,2.884,4.2683,-1.3843
352,61776,2.87073,4.27891,-1.40818
354,62481,2.90316,4.28851,-1.38535
356,63190,2.96951,4.30376,-1.33426
358,63903,2.91563,4.3121,-1.39647
360,64620,2.96278,4.32724,-1.36445
362,65341,2.95338,4.33877,-1.38539
364,66066,2.9781,4.34904,-1.37094
366,66795,3.02079,4.38071,-1.35992
368,67528,3.0414,4.39141,-1.35001
370,68265,3.02886,4.40545,-1.3766
372,69006,3.08028,4.41064,-1.33035
374,69751,3.06427,4.42633,-1.36206
376,70500,3.09782,4.44446,-1.34664
378,71253,3.13102,4.44146,-1.31044
380,72010,3.13514,4.46468,-1.32954
382,72771,3.13158,4.4642,-1.33262
