# vertices,# aristas,tiempo_global,tiempo_crear_agm,tiempo_elegir_master
2,1,4.30333,1.67072,2.63261
4,3,5.19066,2.27419,2.91647
6,5,5.56388,2.55257,3.01131
8,7,5.82337,2.70109,3.12228
10,10,6.01622,2.85244,3.16379
12,14,6.22549,3.04262,3.18288
14,17,6.45392,3.27745,3.17647
16,24,6.72235,3.50909,3.21326
18,22,6.51025,3.32381,3.18644
20,32,6.80018,3.60962,3.19056
22,32,6.67542,3.50363,3.17178
24,36,6.67657,3.52153,3.15504
26,44,6.97104,3.73653,3.23451
28,46,7.08556,3.8027,3.28286
30,50,7.14984,3.83799,3.31186
32,51,7.25896,3.88008,3.37888
34,63,7.51369,4.07353,3.44016
36,66,7.61489,4.13846,3.47643
38,77,7.78999,4.27006,3.51993
40,82,7.98308,4.37535,3.60772
42,88,8.04676,4.42482,3.62194
44,94,8.16169,4.50074,3.66094
46,108,8.3124,4.60681,3.70559
48,104,8.30285,4.57298,3.72988
50,130,8.57465,4.81788,3.75677
52,114,8.48612,4.69921,3.78691
54,130,8.61951,4.81378,3.80573
56,131,8.65389,4.81611,3.83777
58,142,8.76154,4.89548,3.86606
60,136,8.78897,4.86261,3.92636
62,145,8.85595,4.92354,3.93241
64,168,9.0046,5.05078,3.95382
66,177,9.08546,5.09234,3.99312
68,187,9.16403,5.14945,4.01458
70,191,9.2195,5.16331,4.05619
72,206,9.31934,5.23856,4.08079
74,197,9.28525,5.20545,4.07981
76,201,9.31516,5.22089,4.09428
78,231,9.48313,5.35706,4.12607
80,222,9.50173,5.32394,4.1778
82,255,9.6533,5.47003,4.18327
84,259,9.65182,5.47289,4.17893
86,285,9.78833,5.5759,4.21242
88,281,9.77999,5.55647,4.22353
90,272,9.80833,5.54411,4.26423
92,294,9.86203,5.61336,4.24867
94,317,9.97901,5.673,4.30601
96,328,9.99783,5.70308,4.29475
98,353,10.0856,5.77407,4.31155
100,353,10.0927,5.76838,4.32432
102,379,10.2405,5.86326,4.37727
104,374,10.2357,5.84673,4.38893
106,371,10.2102,5.82376,4.38647
108,401,10.3359,5.90934,4.42659
110,410,10.3733,5.94239,4.43094
112,401,10.3701,5.92124,4.44891
114,430,10.4615,5.99061,4.47093
116,433,10.4843,6.00459,4.47972
118,475,10.5725,6.07574,4.49672
120,487,10.5943,6.10678,4.48751
122,498,10.6567,6.12473,4.532
124,500,10.6891,6.12959,4.55946
126,548,10.7517,6.21989,4.53178
128,532,10.7466,6.18979,4.55684
130,548,10.8157,6.22589,4.58985
132,564,10.8517,6.25615,4.59558
134,583,10.8891,6.29492,4.59419
136,586,10.9296,6.2913,4.63828
138,566,10.8897,6.26546,4.62427
140,648,11.0629,6.39457,4.66833
142,642,11.0439,6.38099,4.66291
144,671,11.0866,6.41574,4.6709
146,688,11.1124,6.43265,4.6798
148,688,11.1291,6.45112,4.67794
150,702,11.2232,6.48799,4.73525
152,743,11.2684,6.54549,4.72286
154,772,11.3093,6.58166,4.72767
156,753,11.3049,6.56444,4.74044
158,795,11.3619,6.61463,4.74729
160,807,11.4001,6.62713,4.77297
162,840,11.4601,6.66431,4.79582
164,849,11.4939,6.68126,4.81259
166,833,11.4611,6.66207,4.79902
168,878,11.5244,6.71098,4.81347
170,897,11.5314,6.73184,4.79952
172,905,11.6054,6.7399,4.86549
174,949,11.6373,6.79101,4.84631
176,920,11.6159,6.76081,4.85512
178,956,11.6546,6.79089,4.8637
180,989,11.705,6.8355,4.86949
182,1049,11.7634,6.88647,4.87694
184,1008,11.7975,6.85126,4.94625
186,998,11.7342,6.83413,4.90006
188,1058,11.8218,6.90085,4.92096
190,1068,11.8538,6.92094,4.93285
192,1117,11.887,6.95473,4.93227
194,1127,11.8946,6.96119,4.93339
196,1149,11.9411,6.97893,4.96213
198,1188,11.9969,7.01569,4.98117
200,1201,11.9857,7.0292,4.95652
202,1221,12.0443,7.04129,5.00306
204,1222,12.0487,7.04313,5.00554
206,1260,12.0712,7.07292,4.99824
208,1289,12.0962,7.09908,4.99717
210,1337,12.1663,7.13645,5.02985
212,1316,12.1355,7.12291,5.01262
214,1340,12.2019,7.14282,5.05903
216,1391,12.2346,7.17616,5.05845
218,1407,12.2544,7.19355,5.06082
220,1412,12.2345,7.19348,5.04106
222,1436,12.2618,7.21004,5.05171
224,1511,12.3291,7.2583,5.0708
226,1535,12.3352,7.27196,5.06325
228,1484,12.3309,7.24836,5.08255
230,1546,12.3564,7.28331,5.0731
232,1606,12.4367,7.3213,5.11542
234,1614,12.4705,7.32859,5.14193
236,1593,12.4824,7.31524,5.16718
238,1658,12.4839,7.3553,5.12864
240,1740,12.5599,7.40416,5.15573
242,1680,12.5026,7.3682,5.13437
244,1699,12.5185,7.3838,5.13472
246,1771,12.6129,7.42526,5.18762
248,1753,12.5935,7.41331,5.18019
250,1853,12.6275,7.46739,5.16015
252,1865,12.6612,7.47468,5.18657
254,1829,12.6277,7.45078,5.17691
256,1893,12.7176,7.48855,5.22901
258,1955,12.729,7.52667,5.20233
260,2008,12.7582,7.5562,5.20196
262,1964,12.7519,7.53453,5.21736
264,2064,12.7881,7.58181,5.20628
