# vertices,# aristas,tiempo_global,tiempo_crear_agm,tiempo_elegir_master
2,1,-11.0404,-5.9827,-5.05773
4,3,-9.99359,-5.28284,-4.71075
6,5,-9.55357,-4.88674,-4.66683
8,7,-9.05352,-4.62028,-4.43324
10,9,-8.72885,-4.41141,-4.31744
12,11,-8.50004,-4.29284,-4.2072
14,13,-8.28363,-4.14207,-4.14156
16,15,-8.05285,-4.02889,-4.02396
18,17,-7.79744,-3.84418,-3.95326
20,19,-7.6957,-3.77977,-3.91593
22,21,-7.5238,-3.69538,-3.82842
24,23,-7.42159,-3.60542,-3.81617
26,25,-7.28744,-3.54136,-3.74608
28,27,-7.16575,-3.47254,-3.69321
30,29,-7.08918,-3.41806,-3.67112
32,31,-6.92527,-3.36073,-3.56454
34,33,-6.7508,-3.2559,-3.49489
36,35,-6.65351,-3.22113,-3.43238
38,37,-6.62596,-3.17199,-3.45397
40,39,-6.50115,-3.11083,-3.39032
42,41,-6.38173,-3.0391,-3.34263
44,43,-6.27069,-2.9861,-3.28459
46,45,-6.2141,-2.94546,-3.26864
48,47,-6.11991,-2.90761,-3.2123
50,49,-6.06593,-2.87656,-3.18937
52,51,-5.98188,-2.82424,-3.15764
54,53,-5.91116,-2.79934,-3.11182
56,55,-5.84467,-2.76837,-3.07629
58,57,-5.84199,-2.74538,-3.09661
60,59,-5.76854,-2.69934,-3.06921
62,61,-5.68661,-2.65288,-3.03372
64,63,-5.63215,-2.625,-3.00716
66,65,-5.55088,-2.58955,-2.96133
68,67,-5.4769,-2.55861,-2.91829
70,69,-5.38558,-2.52783,-2.85775
72,71,-5.38499,-2.48154,-2.90344
74,73,-5.36587,-2.46574,-2.90013
76,75,-5.3284,-2.44874,-2.87966
78,77,-5.20242,-2.40238,-2.80003
80,79,-5.16273,-2.39976,-2.76297
82,81,-5.1206,-2.3726,-2.748
84,83,-5.13032,-2.35035,-2.77998
86,85,-5.02199,-2.31833,-2.70366
88,87,-4.97118,-2.30025,-2.67093
90,89,-4.95207,-2.28665,-2.66542
92,91,-4.93905,-2.25515,-2.6839
94,93,-4.86641,-2.2364,-2.63001
96,95,-4.83003,-2.21227,-2.61776
98,97,-4.7909,-2.19887,-2.59203
100,99,-4.77278,-2.18062,-2.59216
102,101,-4.78426,-2.15617,-2.62809
104,103,-4.70785,-2.14367,-2.56418
106,105,-4.7012,-2.12843,-2.57277
108,107,-4.68419,-2.1095,-2.57468
110,109,-4.64611,-2.08594,-2.56016
112,111,-4.58645,-2.07092,-2.51553
114,113,-4.5141,-2.0539,-2.4602
116,115,-4.51826,-2.04406,-2.4742
118,117,-4.4695,-2.01906,-2.45044
120,119,-4.42574,-2.00396,-2.42177
122,121,-4.38877,-1.9889,-2.39987
124,123,-4.39565,-1.96811,-2.42754
126,125,-4.36544,-1.96219,-2.40325
128,127,-4.33897,-1.94631,-2.39266
130,129,-4.22223,-1.90276,-2.31947
132,131,-4.28356,-1.8872,-2.39637
134,133,-4.249,-1.87704,-2.37196
136,135,-4.20665,-1.86335,-2.3433
138,137,-4.13582,-1.84775,-2.28807
140,139,-4.12107,-1.83144,-2.28963
142,141,-4.12077,-1.81675,-2.30403
144,143,-4.11007,-1.80724,-2.30283
146,145,-4.05301,-1.78742,-2.2656
148,147,-4.00219,-1.7793,-2.22289
150,149,-3.9594,-1.75715,-2.20225
152,151,-4.0136,-1.75288,-2.26071
154,153,-3.96607,-1.73963,-2.22644
156,155,-3.91622,-1.71907,-2.19714
158,157,-3.89002,-1.70937,-2.18065
160,159,-3.8547,-1.68994,-2.16476
162,161,-3.83346,-1.68643,-2.14704
164,163,-3.78004,-1.66943,-2.11061
166,165,-3.75892,-1.65797,-2.10095
168,167,-3.77455,-1.65339,-2.12116
170,169,-3.76759,-1.63227,-2.13533
172,171,-3.78395,-1.62747,-2.15648
174,173,-3.7252,-1.60981,-2.11539
176,175,-3.66087,-1.59493,-2.06593
178,177,-3.64842,-1.58197,-2.06645
180,179,-3.63674,-1.57332,-2.06343
182,181,-3.6573,-1.56478,-2.09252
184,183,-3.56627,-1.56287,-2.0034
186,185,-3.61377,-1.54879,-2.06497
188,187,-3.55093,-1.53588,-2.01505
190,189,-3.57703,-1.52737,-2.04967
192,191,-3.55371,-1.51547,-2.03824
194,193,-3.49938,-1.51308,-1.9863
196,195,-3.52442,-1.49851,-2.02591
198,197,-3.48361,-1.48614,-1.99747
200,199,-3.44574,-1.47671,-1.96903
202,201,-3.44464,-1.46342,-1.98123
204,203,-3.40303,-1.45481,-1.94822
206,205,-3.39434,-1.44587,-1.94847
208,207,-3.33599,-1.43527,-1.90073
210,209,-3.31923,-1.42757,-1.89165
212,211,-3.39515,-1.41943,-1.97572
214,213,-3.32474,-1.41186,-1.91288
216,215,-3.34944,-1.39811,-1.95134
218,217,-3.23892,-1.38355,-1.85536
220,219,-3.24141,-1.37926,-1.86215
222,221,-3.26859,-1.37492,-1.89367
224,223,-3.2746,-1.36626,-1.90834
226,225,-3.20213,-1.33589,-1.86624
228,227,-3.22558,-1.34967,-1.87591
230,229,-3.16404,-1.33976,-1.82428
232,231,-3.19251,-1.3237,-1.86882
234,233,-3.12549,-1.31616,-1.80933
236,235,-3.18641,-1.31053,-1.87588
238,237,-3.11675,-1.30874,-1.80801
240,239,-3.07005,-1.2975,-1.77255
242,241,-3.05365,-1.28477,-1.76888
244,243,-3.08976,-1.2799,-1.80987
246,245,-3.02647,-1.2718,-1.75467
248,247,-3.03476,-1.26822,-1.76654
250,249,-3.03071,-1.25704,-1.77368
252,251,-3.05247,-1.24125,-1.81122
254,253,-2.98013,-1.24245,-1.73768
256,255,-2.93331,-1.23002,-1.7033
258,257,-2.98492,-1.19223,-1.79269
260,259,-2.86648,-1.18872,-1.67776
262,261,-2.85184,-1.17717,-1.67467
264,263,-2.92718,-1.16764,-1.75954
266,265,-2.87706,-1.16313,-1.71393
268,267,-2.90697,-1.15535,-1.75161
270,269,-2.79134,-1.14299,-1.64835
272,271,-2.81875,-1.14159,-1.67716
274,273,-2.84236,-1.13162,-1.71074
276,275,-2.7994,-1.11939,-1.68001
278,277,-2.74685,-1.12062,-1.62623
280,279,-2.75274,-1.11658,-1.63616
282,281,-2.76332,-1.10711,-1.65622
284,283,-2.75376,-1.10345,-1.65031
286,285,-2.70377,-1.09735,-1.60642
288,287,-2.67981,-1.08783,-1.59198
290,289,-2.66271,-1.08239,-1.58032
292,291,-2.68702,-1.07624,-1.61078
294,293,-2.67737,-1.06184,-1.61554
296,295,-2.63443,-1.06135,-1.57308
298,297,-2.65596,-1.05131,-1.60465
300,299,-2.61757,-1.04918,-1.56839
302,301,-2.68509,-1.03988,-1.64521
304,303,-2.57219,-1.03556,-1.53663
306,305,-2.62746,-1.02999,-1.59747
308,307,-2.59466,-1.02478,-1.56988
310,309,-2.56075,-1.01558,-1.54518
312,311,-2.57969,-1.0079,-1.5718
314,313,-2.60576,-1.00106,-1.6047
316,315,-2.57657,-0.995393,-1.58118
318,317,-2.55223,-0.989093,-1.56314
320,319,-2.49073,-0.986354,-1.50438
322,321,-2.52933,-0.975935,-1.5534
324,323,-2.48,-0.974746,-1.50526
326,325,-2.47892,-0.961461,-1.51746
328,327,-2.51177,-0.960096,-1.55168
330,329,-2.52126,-0.954372,-1.56689
332,331,-2.48174,-0.949356,-1.53238
334,333,-2.48417,-0.937504,-1.54667
336,335,-2.45576,-0.934093,-1.52167
338,337,-2.46911,-0.928586,-1.54053
340,339,-2.39619,-0.921283,-1.47491
342,341,-2.38416,-0.919787,-1.46438
344,343,-2.3568,-0.911293,-1.44551
346,345,-2.40911,-0.906434,-1.50268
348,347,-2.32809,-0.898191,-1.4299
350,349,-2.34549,-0.891793,-1.4537
352,351,-2.28482,-0.887951,-1.39687
354,353,-2.34383,-0.886315,-1.45752
356,355,-2.27347,-0.874765,-1.39871
358,357,-2.26733,-0.874823,-1.39251
360,359,-2.26216,-0.863983,-1.39817
362,361,-2.3087,-0.860393,-1.44831
364,363,-2.312,-0.858517,-1.45349
366,365,-2.24278,-0.849184,-1.39359
368,367,-2.29101,-0.844165,-1.44684
370,369,-2.24887,-0.841118,-1.40776
372,371,-2.19073,-0.836422,-1.35431
374,373,-2.27377,-0.82801,-1.44576
376,375,-2.16207,-0.819999,-1.34207
378,377,-2.18854,-0.813572,-1.37497
380,379,-2.19444,-0.818067,-1.37638
382,381,-2.189,-0.809685,-1.37932
384,383,-2.20875,-0.807454,-1.40129
386,385,-2.15925,-0.793578,-1.36567
388,387,-2.11972,-0.794343,-1.32537
390,389,-2.13133,-0.787032,-1.3443
392,391,-2.16889,-0.780083,-1.38881
394,393,-2.11544,-0.774878,-1.34056
396,395,-2.09937,-0.769868,-1.3295
398,397,-2.10603,-0.766131,-1.3399
400,399,-2.06449,-0.754755,-1.30973
402,401,-2.12902,-0.752999,-1.37602
404,403,-2.11579,-0.749294,-1.3665
406,405,-2.1067,-0.746084,-1.36062
408,407,-2.01409,-0.744015,-1.27008
410,409,-2.02551,-0.737797,-1.28771
412,411,-1.99909,-0.734344,-1.26475
414,413,-1.9942,-0.72819,-1.26601
416,415,-2.06156,-0.72291,-1.33865
418,417,-2.0233,-0.714003,-1.3093
420,419,-2.03431,-0.711205,-1.32311
422,421,-1.9523,-0.702006,-1.25029
424,423,-2.02955,-0.700841,-1.32871
426,425,-2.01938,-0.699982,-1.3194
428,427,-1.92278,-0.693343,-1.22943
430,429,-1.89783,-0.688566,-1.20927
432,431,-1.9936,-0.684517,-1.30908
434,433,-1.87882,-0.675688,-1.20313
436,435,-1.86999,-0.672216,-1.19778
438,437,-1.95859,-0.667823,-1.29077
440,439,-1.84517,-0.65931,-1.18586
442,441,-1.88955,-0.661311,-1.22824
444,443,-1.8538,-0.647081,-1.20672
446,445,-1.81513,-0.641276,-1.17385
448,447,-1.91733,-0.645104,-1.27223
450,449,-1.85994,-0.643013,-1.21692
